央卫频道,#genre#
陕西卫视,http://219.143.140.111:9990/bptv/10000100000000050000000003887404.m3u8
深圳卫视,http://219.143.140.111:9990/bptv/10000100000000050000000003873474.m3u8
内蒙古卫视,http://219.143.140.111:9990/bptv/10000100000000050000000003887427.m3u8
广西卫视,http://219.143.140.111:9990/bptv/10000100000000050000000003887394.m3u8
青海卫视,http://219.143.140.111:9990/bptv/10000100000000050000000003887430.m3u8
云南卫视,http://219.143.140.111:9990/bptv/10000100000000050000000003887453.m3u8
宁夏卫视,http://219.143.140.111:9990/bptv/10000100000000050000000003887433.m3u8
吉林卫视,http://219.143.140.111:9990/bptv/10000100000000050000000004972569.m3u8
甘肃卫视,http://219.143.140.111:9990/bptv/10000100000000050000000003887450.m3u8
海南卫视,http://219.143.140.111:9990/bptv/10000100000000050000000004796877.m3u8
西藏卫视,http://219.143.140.111:9990/bptv/10000100000000050000000003887434.m3u8
新疆卫视,http://219.143.140.111:9990/bptv/10000100000000050000000003887448.m3u8
嘉佳卡通,http://219.143.140.111:9990/bptv/10000100000000050000000003887459.m3u8
金鹰卡通,http://219.143.140.111:9990/bptv/10000100000000050000000004796942.m3u8
卡酷卡通,http://219.143.140.111:9990/bptv/10000100000000050000000003904597.m3u8
